Source,Type,Target,Weight
champagne,Undirected,lisette,8
champagne,Undirected,le-baron,2
champagne,Undirected,montval,6
champagne,Undirected,la-marquise,2
champagne,Undirected,lucile,3
lisette,Undirected,le-baron,3
lisette,Undirected,la-marquise,8
lisette,Undirected,montval,12
lisette,Undirected,lucile,7
lisette,Undirected,cleon,3
le-baron,Undirected,la-marquise,4
le-baron,Undirected,montval,5
le-baron,Undirected,lucile,3
le-baron,Undirected,cleon,3
la-marquise,Undirected,montval,9
la-marquise,Undirected,cleon,3
la-marquise,Undirected,lucile,4
montval,Undirected,lucile,7
montval,Undirected,cleon,5
lucile,Undirected,cleon,3
