Source,Type,Target,Weight
clotilde,Undirected,lucinde,1
clotilde,Undirected,deuthere,3
clotilde,Undirected,le-roi,3
clotilde,Undirected,clodomire,3
clotilde,Undirected,theosile,1
clotilde,Undirected,clidamant,1
clotilde,Undirected,sigile,1
lucinde,Undirected,deuthere,4
deuthere,Undirected,clidamant,3
deuthere,Undirected,le-roi,2
deuthere,Undirected,sigile,1
deuthere,Undirected,clodomire,4
clidamant,Undirected,le-roi,3
clidamant,Undirected,clodomire,1
clidamant,Undirected,sigile,1
le-roi,Undirected,sigile,2
le-roi,Undirected,clodomire,7
sigile,Undirected,clodomire,1
