Source,Type,Target,Weight
marcellin,Undirected,le-roi,7
marcellin,Undirected,federic,1
marcellin,Undirected,valere,1
marcellin,Undirected,camille,2
le-roi,Undirected,camille,3
le-roi,Undirected,federic,1
le-roi,Undirected,valere,4
le-roi,Undirected,fabrice,1
le-roi,Undirected,octave,1
camille,Undirected,federic,4
camille,Undirected,florise,3
camille,Undirected,fabrice,5
camille,Undirected,valere,2
camille,Undirected,yoland,1
federic,Undirected,valere,4
federic,Undirected,fabrice,4
federic,Undirected,octave,3
federic,Undirected,yoland,1
valere,Undirected,fabrice,5
valere,Undirected,octave,1
valere,Undirected,yoland,1
fabrice,Undirected,yoland,1
