Source,Type,Target,Weight
tyridate,Undirected,anthiochide,2
tyridate,Undirected,berenice,2
tyridate,Undirected,ariarathe,3
tyridate,Undirected,euridice,1
tyridate,Undirected,le-roi,2
tyridate,Undirected,la-reine,3
tyridate,Undirected,arsinoe,1
tyridate,Undirected,oronte,1
anthiochide,Undirected,arsinoe,1
anthiochide,Undirected,ariarathe,1
anthiochide,Undirected,la-reine,1
anthiochide,Undirected,oronte,1
arsinoe,Undirected,le-roi,1
arsinoe,Undirected,la-reine,1
arsinoe,Undirected,oronte,1
ariarathe,Undirected,oronte,4
ariarathe,Undirected,berenice,2
ariarathe,Undirected,euridice,3
ariarathe,Undirected,le-roi,2
oronte,Undirected,le-roi,6
oronte,Undirected,berenice,2
oronte,Undirected,euridice,1
oronte,Undirected,la-reine,3
berenice,Undirected,euridice,3
berenice,Undirected,le-roi,3
berenice,Undirected,la-reine,1
euridice,Undirected,le-roi,1
le-roi,Undirected,la-reine,5
