Source,Type,Target,Weight
madame-de-ponteran,Undirected,javote,5
madame-de-ponteran,Undirected,mariane,2
madame-de-ponteran,Undirected,monsieur-courtinet-pere,3
madame-de-ponteran,Undirected,monsieur-courtinet-fils,2
madame-de-ponteran,Undirected,monsieur-martinet,2
madame-de-ponteran,Undirected,l-epine,2
madame-de-ponteran,Undirected,la-motte,2
madame-de-ponteran,Undirected,le-notaire,2
madame-de-ponteran,Undirected,clitandre,1
javote,Undirected,mariane,6
javote,Undirected,l-epine,5
javote,Undirected,clitandre,3
javote,Undirected,la-motte,4
javote,Undirected,jonquille,1
javote,Undirected,monsieur-courtinet-pere,2
javote,Undirected,monsieur-courtinet-fils,2
javote,Undirected,monsieur-martinet,1
javote,Undirected,le-notaire,1
mariane,Undirected,l-epine,3
mariane,Undirected,clitandre,2
mariane,Undirected,la-motte,2
mariane,Undirected,jonquille,1
mariane,Undirected,monsieur-courtinet-pere,1
mariane,Undirected,monsieur-courtinet-fils,1
l-epine,Undirected,clitandre,3
l-epine,Undirected,la-motte,4
l-epine,Undirected,jonquille,1
l-epine,Undirected,monsieur-martinet,1
l-epine,Undirected,monsieur-courtinet-fils,1
l-epine,Undirected,monsieur-courtinet-pere,1
l-epine,Undirected,le-notaire,1
clitandre,Undirected,la-motte,3
clitandre,Undirected,jonquille,1
clitandre,Undirected,le-notaire,1
la-motte,Undirected,jonquille,1
la-motte,Undirected,monsieur-martinet,1
la-motte,Undirected,monsieur-courtinet-fils,1
la-motte,Undirected,monsieur-courtinet-pere,1
la-motte,Undirected,le-notaire,1
monsieur-courtinet-pere,Undirected,monsieur-courtinet-fils,2
monsieur-courtinet-pere,Undirected,monsieur-martinet,2
monsieur-courtinet-fils,Undirected,monsieur-martinet,1
