Source,Type,Target,Weight
madame-leblanc,Undirected,madame-de-furville,5
madame-leblanc,Undirected,betsy,1
madame-leblanc,Undirected,brillantine,1
madame-leblanc,Undirected,sophie,2
madame-leblanc,Undirected,melanie,2
madame-leblanc,Undirected,aglae,1
madame-leblanc,Undirected,mere-monique,1
madame-de-furville,Undirected,betsy,1
madame-de-furville,Undirected,brillantine,1
madame-de-furville,Undirected,sophie,2
madame-de-furville,Undirected,melanie,2
madame-de-furville,Undirected,aglae,1
madame-de-furville,Undirected,mere-monique,1
sophie,Undirected,melanie,4
sophie,Undirected,mere-monique,2
sophie,Undirected,aglae,1
melanie,Undirected,mere-monique,2
melanie,Undirected,aglae,1
mere-monique,Undirected,aglae,1
