Source,Type,Target,Weight
philla,Undirected,pompeia,7
philla,Undirected,messala,1
philla,Undirected,rufus,1
philla,Undirected,messalla,1
pompeia,Undirected,rufus,3
pompeia,Undirected,julie,5
pompeia,Undirected,albin,1
pompeia,Undirected,clodius,5
pompeia,Undirected,felix,1
pompeia,Undirected,messala,3
pompeia,Undirected,messalla,1
rufus,Undirected,julie,1
rufus,Undirected,messala,1
rufus,Undirected,messalla,1
albin,Undirected,julie,2
messala,Undirected,tullus,1
messala,Undirected,clodius,1
messala,Undirected,messalla,1
julie,Undirected,clodius,2
julie,Undirected,felix,1
julie,Undirected,plotine,1
clodius,Undirected,felix,4
