Source,Type,Target,Weight
georges,Undirected,marcel,2
georges,Undirected,albert,1
georges,Undirected,lucienne,2
georges,Undirected,le-directeur,1
georges,Undirected,jean,1
georges,Undirected,monsieur-constant,1
marcel,Undirected,albert,1
marcel,Undirected,le-directeur,1
marcel,Undirected,jean,1
marcel,Undirected,monsieur-constant,1
marcel,Undirected,lucienne,1
lucienne,Undirected,le-directeur,1
lucienne,Undirected,jean,1
lucienne,Undirected,monsieur-constant,1
le-directeur,Undirected,jean,1
le-directeur,Undirected,monsieur-constant,1
jean,Undirected,monsieur-constant,1
