Source,Type,Target,Weight
monsieur-dissonant,Undirected,le-garçon,2
monsieur-dissonant,Undirected,l-abbe,3
monsieur-dissonant,Undirected,monsieur-desjarrets,2
monsieur-dissonant,Undirected,cabry,2
monsieur-dissonant,Undirected,madame-douaireville,1
monsieur-dissonant,Undirected,madame-douairville,1
le-garçon,Undirected,l-abbe,1
l-abbe,Undirected,monsieur-desjarrets,2
l-abbe,Undirected,cabry,2
l-abbe,Undirected,madame-douaireville,1
l-abbe,Undirected,madame-douairville,1
monsieur-desjarrets,Undirected,cabry,2
monsieur-desjarrets,Undirected,madame-douaireville,1
monsieur-desjarrets,Undirected,madame-douairville,1
cabry,Undirected,madame-douaireville,1
cabry,Undirected,madame-douairville,1
madame-douaireville,Undirected,madame-douairville,1
