Source,Type,Target,Weight
monsieur-de-l-orme,Undirected,mademoiselle-de-l-orme,6
monsieur-de-l-orme,Undirected,monsieur-de-mirville,5
monsieur-de-l-orme,Undirected,henriette,3
monsieur-de-l-orme,Undirected,le-laquais,2
monsieur-de-l-orme,Undirected,monsieur-ronsin,1
monsieur-de-l-orme,Undirected,monsieur-dumont,1
mademoiselle-de-l-orme,Undirected,henriette,5
mademoiselle-de-l-orme,Undirected,monsieur-de-mirville,6
mademoiselle-de-l-orme,Undirected,le-laquais,2
mademoiselle-de-l-orme,Undirected,monsieur-ronsin,1
mademoiselle-de-l-orme,Undirected,monsieur-dumont,1
henriette,Undirected,monsieur-de-mirville,4
henriette,Undirected,le-laquais,2
henriette,Undirected,monsieur-ronsin,1
henriette,Undirected,monsieur-dumont,1
monsieur-de-mirville,Undirected,le-laquais,2
monsieur-de-mirville,Undirected,monsieur-ronsin,1
monsieur-de-mirville,Undirected,monsieur-dumont,1
le-laquais,Undirected,monsieur-ronsin,1
le-laquais,Undirected,monsieur-dumont,1
