Source,Type,Target,Weight
le-major,Undirected,le-baron,5
le-major,Undirected,le-laquais,4
le-major,Undirected,monsieur-roselin,2
le-major,Undirected,le-garçon-de-cabaret,1
le-major,Undirected,le-caporal,1
le-baron,Undirected,le-laquais,2
le-baron,Undirected,monsieur-roselin,2
le-baron,Undirected,le-garçon-de-cabaret,1
le-baron,Undirected,le-caporal,3
le-baron,Undirected,ensemble,1
le-laquais,Undirected,monsieur-roselin,1
le-laquais,Undirected,le-garçon-de-cabaret,1
le-laquais,Undirected,le-caporal,1
monsieur-roselin,Undirected,la-sentinelle,1
monsieur-roselin,Undirected,le-caporal,1
le-garçon-de-cabaret,Undirected,le-caporal,1
le-caporal,Undirected,ensemble,1
le-caporal,Undirected,la-sentinelle,1
