Source,Type,Target,Weight
madame-du-fresnel,Undirected,irene,7
madame-du-fresnel,Undirected,dupuy,8
madame-du-fresnel,Undirected,de-clairvaux,3
madame-du-fresnel,Undirected,un-domestique,2
madame-du-fresnel,Undirected,duplessis,3
madame-du-fresnel,Undirected,leo,1
irene,Undirected,dupuy,6
irene,Undirected,leo,4
irene,Undirected,duplessis,3
irene,Undirected,un-domestique,2
irene,Undirected,de-clairvaux,4
dupuy,Undirected,leo,2
dupuy,Undirected,de-clairvaux,2
dupuy,Undirected,un-domestique,2
dupuy,Undirected,duplessis,5
leo,Undirected,de-clairvaux,1
leo,Undirected,duplessis,1
duplessis,Undirected,de-clairvaux,1
un-domestique,Undirected,de-clairvaux,1
