Source,Type,Target,Weight
ulysse,Undirected,arlangin,1
ulysse,Undirected,panarete,1
ulysse,Undirected,floridan,1
ulysse,Undirected,pallas,1
ulysse,Undirected,eumee,1
ulysse,Undirected,philete,1
ulysse,Undirected,penelope,1
ulysse,Undirected,telemaque,2
ulysse,Undirected,telegon,1
arlangin,Undirected,panarete,1
arlangin,Undirected,floridan,1
panarete,Undirected,floridan,1
telemaque,Undirected,eumee,1
telemaque,Undirected,philete,1
telemaque,Undirected,telegon,2
eumee,Undirected,philete,2
penelope,Undirected,laerte,1
penelope,Undirected,le-messager,1
