Source,Type,Target,Weight
l-amiral,Undirected,le-chancelier,3
l-amiral,Undirected,le-roi-de-navarre,2
l-amiral,Undirected,la-reine-mere,3
l-amiral,Undirected,le-roi-de-france,2
l-amiral,Undirected,le-duc,1
l-amiral,Undirected,le-cardinal,1
le-chancelier,Undirected,le-roi-de-navarre,3
le-chancelier,Undirected,le-cardinal,2
le-chancelier,Undirected,le-roi-de-france,2
le-chancelier,Undirected,la-reine-mere,2
le-chancelier,Undirected,le-duc,2
le-roi-de-navarre,Undirected,le-roi-de-france,1
le-roi-de-navarre,Undirected,la-reine-mere,2
le-roi-de-navarre,Undirected,le-duc,2
le-roi-de-navarre,Undirected,le-cardinal,1
la-reine-mere,Undirected,le-roi-de-france,9
la-reine-mere,Undirected,le-cardinal,10
la-reine-mere,Undirected,le-duc,8
le-cardinal,Undirected,le-duc,8
le-cardinal,Undirected,le-roi-de-france,6
le-duc,Undirected,le-roi-de-france,5
