Source,Type,Target,Weight
atalante,Undirected,isidore,2
atalante,Undirected,philemon,2
atalante,Undirected,polydas,4
atalante,Undirected,sicandre,4
atalante,Undirected,flaminie,3
atalante,Undirected,tharzinte,2
atalante,Undirected,mainalte,2
isidore,Undirected,philemon,1
philemon,Undirected,mainalte,1
polydas,Undirected,flaminie,8
polydas,Undirected,sicandre,6
polydas,Undirected,mainalte,3
polydas,Undirected,tharzinte,1
flaminie,Undirected,sicandre,6
flaminie,Undirected,mainalte,4
flaminie,Undirected,tharzinte,2
sicandre,Undirected,mainalte,5
sicandre,Undirected,tharzinte,4
mainalte,Undirected,calliante,1
mainalte,Undirected,tharzinte,4
tharzinte,Undirected,calliante,2
