Source,Type,Target,Weight
leonor,Undirected,elvire,4
leonor,Undirected,isabelle,5
leonor,Undirected,manrique,2
leonor,Undirected,lope,3
leonor,Undirected,carlos,3
leonor,Undirected,blanche,1
leonor,Undirected,alvar,1
leonor,Undirected,un-garde,1
leonor,Undirected,raymond,1
elvire,Undirected,carlos,2
elvire,Undirected,alvar,2
elvire,Undirected,blanche,1
elvire,Undirected,isabelle,2
elvire,Undirected,raymond,1
elvire,Undirected,lope,1
isabelle,Undirected,lope,4
isabelle,Undirected,manrique,3
isabelle,Undirected,alvar,3
isabelle,Undirected,carlos,5
isabelle,Undirected,blanche,3
isabelle,Undirected,un-garde,1
isabelle,Undirected,raymond,1
lope,Undirected,manrique,8
lope,Undirected,alvar,3
lope,Undirected,carlos,5
lope,Undirected,raymond,1
manrique,Undirected,alvar,3
manrique,Undirected,carlos,4
alvar,Undirected,carlos,1
alvar,Undirected,un-garde,1
carlos,Undirected,blanche,1
carlos,Undirected,raymond,1
