Source,Type,Target,Weight
phocas,Undirected,crispe,3
phocas,Undirected,pulcherie,5
phocas,Undirected,heraclius,5
phocas,Undirected,martian,3
phocas,Undirected,exupere,4
phocas,Undirected,eudoxe,1
phocas,Undirected,leontine,1
crispe,Undirected,heraclius,1
crispe,Undirected,leontine,1
crispe,Undirected,exupere,1
crispe,Undirected,pulcherie,1
pulcherie,Undirected,heraclius,7
pulcherie,Undirected,martian,6
pulcherie,Undirected,amyntas,1
pulcherie,Undirected,leontine,1
pulcherie,Undirected,exupere,1
pulcherie,Undirected,eudoxe,1
heraclius,Undirected,martian,6
heraclius,Undirected,leontine,3
heraclius,Undirected,eudoxe,4
heraclius,Undirected,exupere,3
heraclius,Undirected,amyntas,1
martian,Undirected,exupere,4
martian,Undirected,leontine,2
martian,Undirected,amyntas,1
martian,Undirected,eudoxe,1
leontine,Undirected,eudoxe,6
leontine,Undirected,page,1
leontine,Undirected,exupere,4
eudoxe,Undirected,page,1
eudoxe,Undirected,exupere,2
exupere,Undirected,amyntas,1
