Source,Type,Target,Weight
sabine,Undirected,julie,4
sabine,Undirected,curiace,1
sabine,Undirected,horace,2
sabine,Undirected,camille,4
sabine,Undirected,le-vieil-horace,4
sabine,Undirected,valere,1
sabine,Undirected,tulle,1
julie,Undirected,camille,4
julie,Undirected,curiace,1
julie,Undirected,le-vieil-horace,1
camille,Undirected,curiace,3
camille,Undirected,horace,3
camille,Undirected,le-vieil-horace,3
camille,Undirected,valere,1
curiace,Undirected,horace,4
curiace,Undirected,flavian,1
curiace,Undirected,le-vieil-horace,1
horace,Undirected,le-vieil-horace,3
horace,Undirected,procule,1
horace,Undirected,tulle,1
horace,Undirected,valere,1
le-vieil-horace,Undirected,valere,3
le-vieil-horace,Undirected,tulle,2
valere,Undirected,tulle,2
