Source,Type,Target,Weight
laodice,Undirected,nicomede,4
laodice,Undirected,attale,3
laodice,Undirected,prusias,2
laodice,Undirected,flaminius,2
laodice,Undirected,arsinoe,3
nicomede,Undirected,attale,4
nicomede,Undirected,arsinoe,4
nicomede,Undirected,prusias,6
nicomede,Undirected,flaminius,4
nicomede,Undirected,araspe,1
attale,Undirected,arsinoe,7
attale,Undirected,flaminius,4
attale,Undirected,prusias,3
attale,Undirected,araspe,1
arsinoe,Undirected,cleone,2
arsinoe,Undirected,araspe,2
arsinoe,Undirected,prusias,5
arsinoe,Undirected,flaminius,4
cleone,Undirected,flaminius,1
prusias,Undirected,araspe,2
prusias,Undirected,flaminius,6
araspe,Undirected,flaminius,1
