Source,Type,Target,Weight
thesee,Undirected,dirce,6
thesee,Undirected,megare,1
thesee,Undirected,oedipe,3
thesee,Undirected,jocaste,4
thesee,Undirected,phorbas,2
thesee,Undirected,nerine,1
thesee,Undirected,cleante,1
thesee,Undirected,dymas,1
dirce,Undirected,megare,3
dirce,Undirected,oedipe,3
dirce,Undirected,nerine,2
dirce,Undirected,jocaste,2
dirce,Undirected,cleante,1
dirce,Undirected,dymas,1
megare,Undirected,nerine,1
oedipe,Undirected,cleante,1
oedipe,Undirected,jocaste,6
oedipe,Undirected,dymas,2
oedipe,Undirected,phorbas,2
oedipe,Undirected,page,1
oedipe,Undirected,iphicrate,3
cleante,Undirected,dymas,1
jocaste,Undirected,dymas,1
jocaste,Undirected,phorbas,2
dymas,Undirected,page,1
phorbas,Undirected,iphicrate,1
