Source,Type,Target,Weight
oenarus,Undirected,arcas,1
oenarus,Undirected,pirithous,2
oenarus,Undirected,thesee,1
oenarus,Undirected,ariane,3
oenarus,Undirected,phedre,1
oenarus,Undirected,nerine,1
arcas,Undirected,ariane,1
arcas,Undirected,thesee,1
arcas,Undirected,pirithous,1
pirithous,Undirected,thesee,3
pirithous,Undirected,ariane,6
pirithous,Undirected,phedre,2
pirithous,Undirected,nerine,1
thesee,Undirected,phedre,2
thesee,Undirected,ariane,4
phedre,Undirected,ariane,3
nerine,Undirected,ariane,7
