Source,Type,Target,Weight
mars,Undirected,la-fortune,3
mars,Undirected,la-renommee,2
mars,Undirected,l-amour,2
mars,Undirected,la-gloire,1
la-fortune,Undirected,la-renommee,2
la-fortune,Undirected,l-amour,2
la-fortune,Undirected,la-gloire,1
la-renommee,Undirected,l-amour,2
la-renommee,Undirected,la-gloire,1
l-amour,Undirected,la-gloire,1
la-comedie,Undirected,la-musique,1
la-comedie,Undirected,les-arts,1
la-comedie,Undirected,les-plaisirs,1
la-comedie,Undirected,tous-ensemble,1
la-comedie,Undirected,un-art,1
la-musique,Undirected,les-arts,1
la-musique,Undirected,les-plaisirs,1
la-musique,Undirected,tous-ensemble,1
la-musique,Undirected,un-art,1
les-arts,Undirected,les-plaisirs,1
les-arts,Undirected,tous-ensemble,1
les-arts,Undirected,un-art,1
les-plaisirs,Undirected,tous-ensemble,1
les-plaisirs,Undirected,un-art,1
tous-ensemble,Undirected,un-art,1
palemon,Undirected,glaucus,7
palemon,Undirected,celie,2
palemon,Undirected,melisse,1
palemon,Undirected,florise,2
palemon,Undirected,asterie,4
palemon,Undirected,dorine,2
palemon,Undirected,silla,2
palemon,Undirected,circe,3
palemon,Undirected,venus,1
palemon,Undirected,melicerte,1
glaucus,Undirected,celie,1
glaucus,Undirected,melisse,1
glaucus,Undirected,silla,3
glaucus,Undirected,circe,8
glaucus,Undirected,dorine,2
glaucus,Undirected,asterie,1
glaucus,Undirected,tircis,1
glaucus,Undirected,silvie,1
glaucus,Undirected,venus,1
glaucus,Undirected,neptune,3
glaucus,Undirected,jupiter,1
glaucus,Undirected,sylvain,1
glaucus,Undirected,choeur-de-divinites,1
glaucus,Undirected,dryade,1
glaucus,Undirected,choeur-des-divinites,1
celie,Undirected,melisse,1
silla,Undirected,circe,4
silla,Undirected,dorine,2
silla,Undirected,le-faune,1
silla,Undirected,la-dryade,1
silla,Undirected,faune,1
silla,Undirected,dryade,2
silla,Undirected,florise,2
silla,Undirected,asterie,2
silla,Undirected,melicerte,2
silla,Undirected,neptune,1
silla,Undirected,sylvain,1
silla,Undirected,choeur-de-divinites,1
silla,Undirected,choeur-des-divinites,1
florise,Undirected,asterie,9
florise,Undirected,dorine,6
florise,Undirected,premier-satyre,1
florise,Undirected,second-satyre,1
florise,Undirected,troisieme-satyre,1
florise,Undirected,cnquieme-satyre,1
florise,Undirected,circe,2
florise,Undirected,quatrieme-satyre,1
florise,Undirected,melicerte,1
asterie,Undirected,dorine,6
asterie,Undirected,premier-satyre,2
asterie,Undirected,second-satyre,2
asterie,Undirected,troisieme-satyre,2
asterie,Undirected,quatrieme-satyre,2
asterie,Undirected,cnquieme-satyre,2
asterie,Undirected,circe,3
asterie,Undirected,tircis,1
asterie,Undirected,silvie,1
asterie,Undirected,melicerte,3
dorine,Undirected,premier-satyre,1
dorine,Undirected,second-satyre,1
dorine,Undirected,troisieme-satyre,1
dorine,Undirected,cnquieme-satyre,1
dorine,Undirected,circe,11
dorine,Undirected,quatrieme-satyre,1
premier-satyre,Undirected,second-satyre,2
premier-satyre,Undirected,troisieme-satyre,2
premier-satyre,Undirected,quatrieme-satyre,1
premier-satyre,Undirected,cnquieme-satyre,1
second-satyre,Undirected,troisieme-satyre,2
second-satyre,Undirected,quatrieme-satyre,1
second-satyre,Undirected,cnquieme-satyre,1
troisieme-satyre,Undirected,quatrieme-satyre,1
troisieme-satyre,Undirected,cnquieme-satyre,1
quatrieme-satyre,Undirected,cnquieme-satyre,2
quatrieme-satyre,Undirected,circe,1
cnquieme-satyre,Undirected,circe,1
circe,Undirected,melicerte,1
circe,Undirected,tircis,1
circe,Undirected,silvie,1
circe,Undirected,le-faune,1
circe,Undirected,la-dryade,1
circe,Undirected,faune,1
circe,Undirected,dryade,1
tircis,Undirected,silvie,1
le-faune,Undirected,la-dryade,1
le-faune,Undirected,faune,1
le-faune,Undirected,dryade,1
la-dryade,Undirected,faune,1
la-dryade,Undirected,dryade,1
faune,Undirected,dryade,1
dryade,Undirected,neptune,1
dryade,Undirected,sylvain,1
dryade,Undirected,choeur-de-divinites,1
dryade,Undirected,choeur-des-divinites,1
neptune,Undirected,jupiter,1
neptune,Undirected,sylvain,1
neptune,Undirected,choeur-de-divinites,1
neptune,Undirected,choeur-des-divinites,1
sylvain,Undirected,choeur-de-divinites,1
sylvain,Undirected,choeur-des-divinites,1
choeur-de-divinites,Undirected,choeur-des-divinites,1
