Source,Type,Target,Weight
carlin,Undirected,lise,4
carlin,Undirected,le-marquis,12
carlin,Undirected,cascaret,1
carlin,Undirected,le-chevalier,6
carlin,Undirected,oronte,2
carlin,Undirected,anselme,4
carlin,Undirected,virgine,8
carlin,Undirected,olimpe,3
carlin,Undirected,lucrece,2
lise,Undirected,le-marquis,6
lise,Undirected,cascaret,1
lise,Undirected,lucrece,3
lise,Undirected,le-chevalier,2
lise,Undirected,virgine,4
lise,Undirected,oronte,2
lise,Undirected,anselme,1
le-marquis,Undirected,cascaret,1
le-marquis,Undirected,le-chevalier,5
le-marquis,Undirected,anselme,10
le-marquis,Undirected,virgine,10
le-marquis,Undirected,olimpe,4
le-marquis,Undirected,lucrece,3
le-marquis,Undirected,oronte,3
le-chevalier,Undirected,oronte,2
le-chevalier,Undirected,olimpe,3
le-chevalier,Undirected,virgine,5
le-chevalier,Undirected,lucrece,4
le-chevalier,Undirected,anselme,2
oronte,Undirected,lucrece,4
oronte,Undirected,olimpe,3
oronte,Undirected,virgine,2
oronte,Undirected,anselme,2
lucrece,Undirected,olimpe,13
lucrece,Undirected,virgine,8
lucrece,Undirected,anselme,2
olimpe,Undirected,virgine,11
olimpe,Undirected,anselme,2
virgine,Undirected,anselme,4
