Source,Type,Target,Weight
beatrix,Undirected,isabelle,11
beatrix,Undirected,don-fernand,10
beatrix,Undirected,guzman,2
beatrix,Undirected,don-pascal,4
beatrix,Undirected,carlin,8
beatrix,Undirected,don-cesar,8
beatrix,Undirected,sganarelle,2
beatrix,Undirected,enrique,3
isabelle,Undirected,don-fernand,8
isabelle,Undirected,guzman,2
isabelle,Undirected,don-pascal,5
isabelle,Undirected,don-cesar,6
isabelle,Undirected,carlin,5
isabelle,Undirected,enrique,2
don-fernand,Undirected,guzman,2
don-fernand,Undirected,don-pascal,7
don-fernand,Undirected,don-cesar,9
don-fernand,Undirected,carlin,8
don-fernand,Undirected,enrique,8
don-fernand,Undirected,sganarelle,2
guzman,Undirected,don-pascal,2
don-pascal,Undirected,don-cesar,4
don-pascal,Undirected,carlin,4
don-pascal,Undirected,enrique,2
don-cesar,Undirected,carlin,16
don-cesar,Undirected,enrique,3
don-cesar,Undirected,sganarelle,1
carlin,Undirected,enrique,3
carlin,Undirected,sganarelle,1
