Source,Type,Target,Weight
alonse,Undirected,enrique,1
alonse,Undirected,blanche,1
alonse,Undirected,don-sanche,1
alonse,Undirected,don-lope,1
enrique,Undirected,don-alvar,1
enrique,Undirected,cassandre,1
enrique,Undirected,flore,1
blanche,Undirected,jacinte,4
blanche,Undirected,don-lope,4
blanche,Undirected,don-alvar,3
blanche,Undirected,don-sanche,1
jacinte,Undirected,don-lope,5
jacinte,Undirected,don-sanche,3
jacinte,Undirected,cassandre,6
jacinte,Undirected,flore,1
jacinte,Undirected,don-alvar,3
don-lope,Undirected,cassandre,6
don-lope,Undirected,brave-1er,1
don-lope,Undirected,don-alvar,10
don-lope,Undirected,brave-2eme,1
don-lope,Undirected,brave-3eme,1
don-lope,Undirected,don-louis,1
don-lope,Undirected,don-sanche,2
don-sanche,Undirected,don-ramire,1
don-sanche,Undirected,don-alvar,4
don-sanche,Undirected,cassandre,1
cassandre,Undirected,flore,4
cassandre,Undirected,don-alvar,5
flore,Undirected,don-alvar,2
don-alvar,Undirected,brave-1er,1
don-alvar,Undirected,brave-2eme,1
don-alvar,Undirected,brave-3eme,1
brave-1er,Undirected,brave-2eme,1
brave-1er,Undirected,brave-3eme,1
brave-2eme,Undirected,brave-3eme,1
