Source,Type,Target,Weight
nicandre,Undirected,arcas,4
nicandre,Undirected,cleomene,5
nicandre,Undirected,la-reine,5
nicandre,Undirected,cresphonte,1
nicandre,Undirected,leontidas,1
nicandre,Undirected,eriphile,3
nicandre,Undirected,doride,2
nicandre,Undirected,timocrate,2
nicandre,Undirected,trasile,1
arcas,Undirected,la-reine,3
arcas,Undirected,eriphile,2
arcas,Undirected,doride,1
arcas,Undirected,cleomene,1
arcas,Undirected,timocrate,1
cleomene,Undirected,la-reine,5
cleomene,Undirected,cresphonte,1
cleomene,Undirected,leontidas,1
cleomene,Undirected,eriphile,2
cleomene,Undirected,trasille,1
cleomene,Undirected,timocrate,1
la-reine,Undirected,cresphonte,1
la-reine,Undirected,leontidas,1
la-reine,Undirected,eriphile,5
la-reine,Undirected,doride,1
la-reine,Undirected,trasille,1
la-reine,Undirected,timocrate,4
la-reine,Undirected,trasile,1
cresphonte,Undirected,leontidas,1
cleone,Undirected,eriphile,6
cleone,Undirected,timocrate,1
eriphile,Undirected,timocrate,3
eriphile,Undirected,trasile,1
timocrate,Undirected,trasile,1
