Source,Type,Target,Weight
electre,Undirected,arcas,1
electre,Undirected,itys,2
electre,Undirected,clytemnestre,2
electre,Undirected,egisthe,1
electre,Undirected,tydee,1
electre,Undirected,oreste,5
electre,Undirected,palamede,2
electre,Undirected,iphianasse,1
arcas,Undirected,iphianasse,1
itys,Undirected,clytemnestre,2
itys,Undirected,iphianasse,1
clytemnestre,Undirected,egisthe,1
clytemnestre,Undirected,iphianasse,1
clytemnestre,Undirected,oreste,1
egisthe,Undirected,tydee,1
iphianasse,Undirected,melite,1
iphianasse,Undirected,tydee,2
iphianasse,Undirected,oreste,1
tydee,Undirected,antenor,1
tydee,Undirected,palamede,1
tydee,Undirected,oreste,1
palamede,Undirected,oreste,5
