Source,Type,Target,Weight
moliere,Undirected,lesbin,2
moliere,Undirected,chapelle,6
moliere,Undirected,laforet,2
moliere,Undirected,le-garçon-de-theatre,1
moliere,Undirected,la-moliere,1
moliere,Undirected,isabelle,7
moliere,Undirected,baron,4
moliere,Undirected,le-semainier,1
moliere,Undirected,le-docteur,1
lesbin,Undirected,isabelle,2
lesbin,Undirected,chapelle,1
chapelle,Undirected,laforet,3
chapelle,Undirected,la-moliere,1
chapelle,Undirected,le-docteur,1
chapelle,Undirected,isabelle,3
chapelle,Undirected,baron,2
la-moliere,Undirected,isabelle,3
isabelle,Undirected,baron,6
isabelle,Undirected,angelique,1
isabelle,Undirected,cleante,1
isabelle,Undirected,le-docteur,2
baron,Undirected,angelique,1
baron,Undirected,cleante,1
baron,Undirected,le-docteur,1
baron,Undirected,le-domestique,1
baron,Undirected,montausier,2
baron,Undirected,pirlon,1
angelique,Undirected,cleante,1
montausier,Undirected,pirlon,1
