Source,Type,Target,Weight
nourrice,Undirected,alvide,3
alvide,Undirected,torrismon,2
alvide,Undirected,gentilhomme,2
torrismon,Undirected,conseiller,1
torrismon,Undirected,gentilhomme,2
torrismon,Undirected,rusille,1
torrismon,Undirected,germon,2
torrismon,Undirected,rosmonde,1
torrismon,Undirected,devin,1
torrismon,Undirected,fauston,2
torrismon,Undirected,messager,1
conseiller,Undirected,germon,1
gentilhomme,Undirected,germon,2
gentilhomme,Undirected,rusille,1
gentilhomme,Undirected,rosmonde,1
rosmonde,Undirected,rusille,2
rosmonde,Undirected,germon,1
rusille,Undirected,germon,1
fauston,Undirected,messager,1
