Source,Type,Target,Weight
jacinte,Undirected,angelique,11
jacinte,Undirected,jocrisse,2
jacinte,Undirected,grognard,6
jacinte,Undirected,le-soldat,2
jacinte,Undirected,barbe,3
jacinte,Undirected,le-rotisseur,2
jacinte,Undirected,leandre,2
angelique,Undirected,jocrisse,2
angelique,Undirected,grognard,6
angelique,Undirected,le-soldat,2
angelique,Undirected,barbe,3
angelique,Undirected,le-rotisseur,2
angelique,Undirected,leandre,2
jocrisse,Undirected,le-clerc,1
jocrisse,Undirected,grognard,3
grognard,Undirected,le-clerc,1
grognard,Undirected,le-soldat,1
grognard,Undirected,barbe,1
grognard,Undirected,leandre,1
le-soldat,Undirected,barbe,2
le-soldat,Undirected,leandre,1
barbe,Undirected,leandre,2
