Source,Type,Target,Weight
lisette,Undirected,angelique,14
lisette,Undirected,la-fleur,1
lisette,Undirected,cidalise,8
lisette,Undirected,des-soupirs,1
lisette,Undirected,l-abbe,1
lisette,Undirected,jasmin,2
lisette,Undirected,la-comtesse,5
lisette,Undirected,monsieur-patin,2
lisette,Undirected,clitandre,4
angelique,Undirected,jasmin,4
angelique,Undirected,la-fleur,1
angelique,Undirected,cidalise,14
angelique,Undirected,des-soupirs,3
angelique,Undirected,l-abbe,1
angelique,Undirected,la-comtesse,8
angelique,Undirected,monsieur-patin,4
angelique,Undirected,clitandre,4
jasmin,Undirected,clitandre,1
jasmin,Undirected,la-comtesse,1
jasmin,Undirected,cidalise,1
cidalise,Undirected,des-soupirs,3
cidalise,Undirected,la-comtesse,7
cidalise,Undirected,monsieur-patin,4
cidalise,Undirected,clitandre,3
des-soupirs,Undirected,monsieur-patin,2
des-soupirs,Undirected,la-comtesse,2
des-soupirs,Undirected,clitandre,1
la-comtesse,Undirected,monsieur-patin,4
la-comtesse,Undirected,clitandre,3
monsieur-patin,Undirected,clitandre,1
