Source,Type,Target,Weight
merlin,Undirected,champagne,3
merlin,Undirected,eraste,6
merlin,Undirected,lisette,10
merlin,Undirected,madame-argante,8
merlin,Undirected,angelique,6
merlin,Undirected,monsieur-de-bonnefoi,2
merlin,Undirected,la-fleur,1
champagne,Undirected,lisette,3
champagne,Undirected,angelique,3
champagne,Undirected,madame-argante,3
champagne,Undirected,monsieur-de-bonnefoi,1
champagne,Undirected,eraste,1
eraste,Undirected,lisette,6
eraste,Undirected,angelique,3
eraste,Undirected,madame-argante,5
eraste,Undirected,monsieur-de-bonnefoi,2
eraste,Undirected,la-fleur,1
lisette,Undirected,madame-argante,15
lisette,Undirected,angelique,13
lisette,Undirected,jasmin,1
lisette,Undirected,monsieur-de-bonnefoi,2
lisette,Undirected,la-fleur,1
madame-argante,Undirected,jasmin,2
madame-argante,Undirected,angelique,13
madame-argante,Undirected,monsieur-de-bonnefoi,2
madame-argante,Undirected,la-fleur,1
jasmin,Undirected,angelique,1
angelique,Undirected,monsieur-de-bonnefoi,2
