Source,Type,Target,Weight
un-paysan,Undirected,thersandre,1
un-paysan,Undirected,philis,1
un-paysan,Undirected,choeur,1
thersandre,Undirected,philis,2
thersandre,Undirected,choeur,2
thersandre,Undirected,l-amour,1
thersandre,Undirected,la-folie,1
thersandre,Undirected,kerpinot,1
thersandre,Undirected,foret,1
thersandre,Undirected,bacchus,1
thersandre,Undirected,lucile,1
thersandre,Undirected,tous,1
philis,Undirected,choeur,2
philis,Undirected,l-amour,1
philis,Undirected,la-folie,1
philis,Undirected,kerpinot,1
philis,Undirected,foret,1
philis,Undirected,bacchus,1
philis,Undirected,lucile,1
philis,Undirected,tous,1
choeur,Undirected,l-amour,1
choeur,Undirected,la-folie,1
choeur,Undirected,kerpinot,1
choeur,Undirected,foret,1
choeur,Undirected,bacchus,1
choeur,Undirected,lucile,1
choeur,Undirected,tous,1
bacchus,Undirected,la-folie,7
bacchus,Undirected,foret,5
bacchus,Undirected,claudine,1
bacchus,Undirected,l-amour,6
bacchus,Undirected,eraste,1
bacchus,Undirected,lucile,3
bacchus,Undirected,nerine,2
bacchus,Undirected,clitandre,2
bacchus,Undirected,kerpinot,2
bacchus,Undirected,silene,1
bacchus,Undirected,tous,1
la-folie,Undirected,lucile,4
la-folie,Undirected,nerine,3
la-folie,Undirected,clitandre,3
la-folie,Undirected,eraste,2
la-folie,Undirected,l-amour,6
la-folie,Undirected,kerpinot,3
la-folie,Undirected,madame-pinterelle,1
la-folie,Undirected,la-veuve,2
la-folie,Undirected,le-chevalier,1
la-folie,Undirected,foret,4
la-folie,Undirected,silene,2
la-folie,Undirected,tous,1
eraste,Undirected,lucile,4
eraste,Undirected,nerine,4
eraste,Undirected,clitandre,3
eraste,Undirected,l-amour,1
lucile,Undirected,nerine,4
lucile,Undirected,clitandre,3
lucile,Undirected,l-amour,3
lucile,Undirected,foret,2
lucile,Undirected,silene,1
lucile,Undirected,kerpinot,1
lucile,Undirected,tous,1
nerine,Undirected,clitandre,4
nerine,Undirected,l-amour,2
nerine,Undirected,foret,1
nerine,Undirected,silene,1
clitandre,Undirected,l-amour,2
clitandre,Undirected,foret,1
clitandre,Undirected,silene,1
foret,Undirected,claudine,1
foret,Undirected,silene,3
foret,Undirected,l-amour,2
foret,Undirected,kerpinot,1
foret,Undirected,tous,1
l-amour,Undirected,kerpinot,2
l-amour,Undirected,silene,1
l-amour,Undirected,tous,1
kerpinot,Undirected,madame-pinterelle,1
kerpinot,Undirected,tous,1
la-veuve,Undirected,le-chevalier,1
