Source,Type,Target,Weight
nanette,Undirected,sophie,3
nanette,Undirected,mademoiselle-giraut,3
nanette,Undirected,monsieur-pruneau,3
nanette,Undirected,dorante,3
nanette,Undirected,bracassak,1
nanette,Undirected,mademoiselle-bracassak,1
nanette,Undirected,monsieur-martin,1
nanette,Undirected,barbalou,1
sophie,Undirected,monsieur-martin,3
sophie,Undirected,mademoiselle-giraut,5
sophie,Undirected,dorante,9
sophie,Undirected,monsieur-pruneau,4
sophie,Undirected,mademoiselle-bracassak,4
sophie,Undirected,bracassak,1
sophie,Undirected,barbalou,1
sophie,Undirected,nicolas,1
monsieur-martin,Undirected,gros-jean,2
monsieur-martin,Undirected,nicolas,1
monsieur-martin,Undirected,mademoiselle-giraut,3
monsieur-martin,Undirected,dorante,3
monsieur-martin,Undirected,monsieur-pruneau,2
monsieur-martin,Undirected,mademoiselle-bracassak,2
monsieur-martin,Undirected,bracassak,3
monsieur-martin,Undirected,barbalou,1
gros-jean,Undirected,nicolas,1
gros-jean,Undirected,bracassak,2
gros-jean,Undirected,dorante,1
nicolas,Undirected,dorante,1
nicolas,Undirected,mademoiselle-bracassak,1
mademoiselle-giraut,Undirected,monsieur-pruneau,6
mademoiselle-giraut,Undirected,dorante,5
mademoiselle-giraut,Undirected,bracassak,1
mademoiselle-giraut,Undirected,mademoiselle-bracassak,1
mademoiselle-giraut,Undirected,barbalou,1
monsieur-pruneau,Undirected,dorante,5
monsieur-pruneau,Undirected,bracassak,1
monsieur-pruneau,Undirected,mademoiselle-bracassak,1
monsieur-pruneau,Undirected,barbalou,1
dorante,Undirected,bracassak,4
dorante,Undirected,mademoiselle-bracassak,5
dorante,Undirected,barbalou,2
bracassak,Undirected,mademoiselle-bracassak,2
bracassak,Undirected,barbalou,1
mademoiselle-bracassak,Undirected,barbalou,2
