Source,Type,Target,Weight
lucas,Undirected,lisette,6
lucas,Undirected,angelique,6
lucas,Undirected,monsieur-bernard,7
lucas,Undirected,l-olive,5
lucas,Undirected,dorante,4
lucas,Undirected,maturine,1
lucas,Undirected,le-chevalier,1
lisette,Undirected,angelique,11
lisette,Undirected,monsieur-bernard,5
lisette,Undirected,l-olive,5
lisette,Undirected,dorante,4
lisette,Undirected,le-chevalier,1
angelique,Undirected,monsieur-bernard,6
angelique,Undirected,l-olive,5
angelique,Undirected,dorante,5
angelique,Undirected,maturine,1
angelique,Undirected,le-chevalier,1
monsieur-bernard,Undirected,l-olive,5
monsieur-bernard,Undirected,dorante,4
monsieur-bernard,Undirected,maturine,1
monsieur-bernard,Undirected,le-chevalier,1
l-olive,Undirected,dorante,8
l-olive,Undirected,maturine,1
l-olive,Undirected,le-chevalier,1
dorante,Undirected,maturine,1
dorante,Undirected,le-chevalier,1
