Source,Type,Target,Weight
eurimedon,Undirected,pasithee,11
eurimedon,Undirected,archelas,5
eurimedon,Undirected,falante,2
eurimedon,Undirected,alerine,4
eurimedon,Undirected,tygrane,3
eurimedon,Undirected,celiane,5
eurimedon,Undirected,lysanor,1
eurimedon,Undirected,melinte,1
pasithee,Undirected,archelas,3
pasithee,Undirected,falante,2
pasithee,Undirected,alerine,5
pasithee,Undirected,tygrane,2
pasithee,Undirected,celiane,2
pasithee,Undirected,melinte,1
archelas,Undirected,falante,3
archelas,Undirected,tygrane,2
archelas,Undirected,celiane,2
archelas,Undirected,melinte,2
falante,Undirected,tygrane,1
tygrane,Undirected,celiane,4
tygrane,Undirected,melinte,1
celiane,Undirected,argamor,1
celiane,Undirected,lysanor,1
celiane,Undirected,melinte,1
