Source,Type,Target,Weight
eraste,Undirected,soliman,3
eraste,Undirected,herminie,2
eraste,Undirected,perside,2
eraste,Undirected,achmat,1
soliman,Undirected,herminie,10
soliman,Undirected,pirrus,3
soliman,Undirected,achmat,8
soliman,Undirected,perside,7
soliman,Undirected,haly,3
soliman,Undirected,ormane,1
herminie,Undirected,pirrus,2
herminie,Undirected,achmat,6
herminie,Undirected,perside,5
herminie,Undirected,alcomire,1
herminie,Undirected,ormane,1
pirrus,Undirected,achmat,1
pirrus,Undirected,alcomire,1
pirrus,Undirected,ormane,1
pirrus,Undirected,haly,1
pirrus,Undirected,perside,1
achmat,Undirected,perside,4
achmat,Undirected,alcomire,1
achmat,Undirected,haly,2
perside,Undirected,ormane,2
perside,Undirected,haly,1
haly,Undirected,ormane,1
