Source,Type,Target,Weight
eudoxe,Undirected,camile,1
eudoxe,Undirected,ispar,1
eudoxe,Undirected,trasimond,5
eudoxe,Undirected,l-imperatrice,5
eudoxe,Undirected,genseric,3
eudoxe,Undirected,sophronie,1
eudoxe,Undirected,amilcar,1
camile,Undirected,l-imperatrice,1
ispar,Undirected,genseric,3
ispar,Undirected,huneric,1
ispar,Undirected,sophronie,1
ispar,Undirected,justine,1
trasimond,Undirected,narbal,4
trasimond,Undirected,sophronie,2
trasimond,Undirected,genseric,2
trasimond,Undirected,huneric,1
trasimond,Undirected,l-imperatrice,1
sophronie,Undirected,justine,3
sophronie,Undirected,genseric,3
sophronie,Undirected,l-imperatrice,2
justine,Undirected,genseric,1
genseric,Undirected,huneric,3
genseric,Undirected,l-imperatrice,3
genseric,Undirected,amilcar,2
huneric,Undirected,l-imperatrice,1
