Source,Type,Target,Weight
le-roi,Undirected,acaste,4
le-roi,Undirected,mirame,6
le-roi,Undirected,adraste,2
le-roi,Undirected,azamor,7
le-roi,Undirected,alcine,2
le-roi,Undirected,l-ambassadeur,1
le-roi,Undirected,almire,1
le-roi,Undirected,soldat,1
acaste,Undirected,adraste,1
acaste,Undirected,mirame,4
acaste,Undirected,azamor,3
acaste,Undirected,arimant,1
acaste,Undirected,le-grand-prevot,1
mirame,Undirected,adraste,1
mirame,Undirected,azamor,4
mirame,Undirected,alcine,2
mirame,Undirected,almire,12
mirame,Undirected,arimant,3
mirame,Undirected,le-grand-prevot,2
mirame,Undirected,soldat,1
azamor,Undirected,almire,3
azamor,Undirected,alcine,4
azamor,Undirected,l-ambassadeur,1
azamor,Undirected,soldat,1
alcine,Undirected,almire,3
almire,Undirected,arimant,2
almire,Undirected,le-grand-prevot,1
arimant,Undirected,le-grand-prevot,1
