Source,Type,Target,Weight
madame-de-chepy,Undirected,picard,2
madame-de-chepy,Undirected,mademoiselle-beaulieu,7
madame-de-chepy,Undirected,flamand,3
madame-de-chepy,Undirected,madame-de-vertillac,7
madame-de-chepy,Undirected,monsieur-hardouin,8
madame-de-chepy,Undirected,monsieur-de-crancey,4
madame-de-chepy,Undirected,mademoiselle-de-vertillac,2
madame-de-chepy,Undirected,madame-bertrand,4
madame-de-chepy,Undirected,monsieur-des-renardeaux,5
madame-de-chepy,Undirected,monsieur-de-surmont,2
madame-de-chepy,Undirected,tous-ensemble,1
madame-de-chepy,Undirected,monsieur-poultier,1
picard,Undirected,mademoiselle-beaulieu,1
picard,Undirected,flamand,1
mademoiselle-beaulieu,Undirected,flamand,1
mademoiselle-beaulieu,Undirected,monsieur-hardouin,7
mademoiselle-beaulieu,Undirected,monsieur-de-surmont,5
mademoiselle-beaulieu,Undirected,monsieur-de-crancey,2
mademoiselle-beaulieu,Undirected,madame-de-vertillac,3
mademoiselle-beaulieu,Undirected,madame-bertrand,3
mademoiselle-beaulieu,Undirected,monsieur-des-renardeaux,3
mademoiselle-beaulieu,Undirected,tous-ensemble,1
mademoiselle-beaulieu,Undirected,monsieur-poultier,1
flamand,Undirected,monsieur-hardouin,1
madame-de-vertillac,Undirected,monsieur-hardouin,9
madame-de-vertillac,Undirected,monsieur-de-crancey,6
madame-de-vertillac,Undirected,mademoiselle-de-vertillac,3
madame-de-vertillac,Undirected,monsieur-des-renardeaux,6
madame-de-vertillac,Undirected,monsieur-poultier,2
madame-de-vertillac,Undirected,madame-bertrand,4
madame-de-vertillac,Undirected,monsieur-de-surmont,3
madame-de-vertillac,Undirected,tous-ensemble,1
madame-de-vertillac,Undirected,le-marquis-de-tourvelle,1
monsieur-hardouin,Undirected,le-laquais,4
monsieur-hardouin,Undirected,madame-bertrand,9
monsieur-hardouin,Undirected,monsieur-des-renardeaux,10
monsieur-hardouin,Undirected,monsieur-de-crancey,7
monsieur-hardouin,Undirected,mademoiselle-de-vertillac,2
monsieur-hardouin,Undirected,monsieur-de-surmont,4
monsieur-hardouin,Undirected,monsieur-poultier,4
monsieur-hardouin,Undirected,le-marquis-de-tourvelle,3
madame-bertrand,Undirected,monsieur-poultier,2
madame-bertrand,Undirected,binbin,1
madame-bertrand,Undirected,monsieur-des-renardeaux,6
madame-bertrand,Undirected,monsieur-de-crancey,3
madame-bertrand,Undirected,monsieur-de-surmont,3
madame-bertrand,Undirected,tous-ensemble,1
monsieur-des-renardeaux,Undirected,monsieur-de-crancey,3
monsieur-des-renardeaux,Undirected,monsieur-de-surmont,3
monsieur-des-renardeaux,Undirected,tous-ensemble,1
monsieur-des-renardeaux,Undirected,le-marquis-de-tourvelle,1
monsieur-des-renardeaux,Undirected,monsieur-poultier,1
monsieur-de-crancey,Undirected,mademoiselle-de-vertillac,3
monsieur-de-crancey,Undirected,monsieur-de-surmont,2
monsieur-de-crancey,Undirected,tous-ensemble,1
monsieur-de-surmont,Undirected,tous-ensemble,1
monsieur-de-surmont,Undirected,monsieur-poultier,1
monsieur-poultier,Undirected,binbin,1
