Source,Type,Target,Weight
dorval,Undirected,charles,4
dorval,Undirected,constance,5
dorval,Undirected,clairville,12
dorval,Undirected,rosalie,4
dorval,Undirected,sylvestre,2
dorval,Undirected,andre,1
dorval,Undirected,lysimond,1
charles,Undirected,sylvestre,1
charles,Undirected,clairville,1
charles,Undirected,andre,1
constance,Undirected,clairville,3
constance,Undirected,rosalie,3
constance,Undirected,lysimond,1
clairville,Undirected,rosalie,4
clairville,Undirected,andre,1
clairville,Undirected,lysimond,1
rosalie,Undirected,justine,3
rosalie,Undirected,sylvestre,1
rosalie,Undirected,lysimond,1
