Source,Type,Target,Weight
du-clos,Undirected,madame-jobin,8
du-clos,Undirected,maturine,2
du-clos,Undirected,monsieur-gilet,1
du-clos,Undirected,dame-françoise,1
du-clos,Undirected,la-marquise,1
du-clos,Undirected,madame-de-clerimont,1
du-clos,Undirected,la-tete,1
du-clos,Undirected,picard,1
madame-jobin,Undirected,mademoiselle-du-buisson,3
madame-jobin,Undirected,maturine,11
madame-jobin,Undirected,la-comtesse,5
madame-jobin,Undirected,monsieur-gilet,7
madame-jobin,Undirected,la-giraudiere,4
madame-jobin,Undirected,madame-noblet,2
madame-jobin,Undirected,monsieur-gosselin,5
madame-jobin,Undirected,du-verdier,2
madame-jobin,Undirected,madame-de-la-jubliniere,1
madame-jobin,Undirected,la-paysanne,1
madame-jobin,Undirected,le-chevalier,6
madame-jobin,Undirected,dame-françoise,3
madame-jobin,Undirected,la-marquise,4
madame-jobin,Undirected,le-marquis,5
madame-jobin,Undirected,madame-des-roches,2
madame-jobin,Undirected,mademoiselle-du-verdier,1
madame-jobin,Undirected,monsieur-de-troufignac,2
madame-jobin,Undirected,madame-de-clerimont,1
madame-jobin,Undirected,la-tete,1
madame-jobin,Undirected,picard,1
mademoiselle-du-buisson,Undirected,maturine,1
maturine,Undirected,la-comtesse,2
maturine,Undirected,la-giraudiere,1
maturine,Undirected,dame-françoise,3
maturine,Undirected,le-chevalier,1
maturine,Undirected,la-marquise,4
maturine,Undirected,le-marquis,2
maturine,Undirected,madame-des-roches,1
la-comtesse,Undirected,le-marquis,7
la-comtesse,Undirected,monsieur-gosselin,1
la-comtesse,Undirected,la-giraudiere,1
la-comtesse,Undirected,madame-noblet,1
le-marquis,Undirected,madame-noblet,2
le-marquis,Undirected,le-financier,1
le-marquis,Undirected,le-chevalier,1
le-marquis,Undirected,monsieur-gosselin,2
le-marquis,Undirected,la-giraudiere,1
monsieur-gilet,Undirected,la-giraudiere,1
monsieur-gilet,Undirected,le-chevalier,1
la-giraudiere,Undirected,monsieur-gosselin,1
la-giraudiere,Undirected,madame-noblet,1
madame-noblet,Undirected,monsieur-gosselin,1
du-verdier,Undirected,madame-de-la-jubliniere,1
dame-françoise,Undirected,la-marquise,2
madame-de-clerimont,Undirected,la-tete,1
madame-de-clerimont,Undirected,picard,1
la-tete,Undirected,picard,1
