Source,Type,Target,Weight
pierrot,Undirected,almoraddin,10
pierrot,Undirected,hanif,1
pierrot,Undirected,sindbad,2
pierrot,Undirected,assan,1
pierrot,Undirected,nour,3
pierrot,Undirected,la-reine,3
almoraddin,Undirected,hanif,1
almoraddin,Undirected,sindbad,2
almoraddin,Undirected,assan,2
almoraddin,Undirected,nour,3
almoraddin,Undirected,la-reine,4
almoraddin,Undirected,estonish,1
hanif,Undirected,sindbad,1
hanif,Undirected,assan,2
hanif,Undirected,amine,1
sindbad,Undirected,assan,1
assan,Undirected,amine,2
assan,Undirected,estonish,1
assan,Undirected,nour,1
nour,Undirected,la-reine,2
