Source,Type,Target,Weight
eristene,Undirected,oloodeme,3
eristene,Undirected,licogene,2
eristene,Undirected,meleandre,1
eristene,Undirected,eurimede,1
oloodeme,Undirected,licogene,3
oloodeme,Undirected,meleandre,1
oloodeme,Undirected,eurimede,1
licogene,Undirected,poliarque,1
licogene,Undirected,menocrite,1
licogene,Undirected,anaximandre,1
poliarque,Undirected,gelanore,4
poliarque,Undirected,selenisse,4
poliarque,Undirected,meleandre,5
poliarque,Undirected,eurimede,2
poliarque,Undirected,argenis,3
poliarque,Undirected,soldats-1,1
poliarque,Undirected,soldats-2,1
poliarque,Undirected,soldats,1
poliarque,Undirected,sacrificateur,1
poliarque,Undirected,timonide,1
gelanore,Undirected,selenisse,1
meleandre,Undirected,eurimede,3
meleandre,Undirected,selenisse,2
meleandre,Undirected,soldats-2,1
meleandre,Undirected,argenis,2
meleandre,Undirected,soldats,1
meleandre,Undirected,sacrificateur,1
meleandre,Undirected,timonide,1
eurimede,Undirected,selenisse,1
selenisse,Undirected,argenis,3
selenisse,Undirected,florice,1
selenisse,Undirected,soldats-1,1
selenisse,Undirected,soldats,1
argenis,Undirected,florice,1
argenis,Undirected,soldats-1,1
argenis,Undirected,soldats,1
argenis,Undirected,sacrificateur,1
argenis,Undirected,timonide,1
sacrificateur,Undirected,timonide,1
menocrite,Undirected,anaximandre,1
