Source,Type,Target,Weight
hidaspe,Undirected,tirsis,2
hidaspe,Undirected,calistene,1
tirsis,Undirected,calistene,1
calistene,Undirected,hippias,1
calistene,Undirected,satire,1
calistene,Undirected,panthie,1
clitophon,Undirected,clinias,9
clitophon,Undirected,lucipe,11
clitophon,Undirected,satire,11
clitophon,Undirected,timandre,4
clitophon,Undirected,menelas,1
clitophon,Undirected,charmide,4
clitophon,Undirected,cheree,1
clitophon,Undirected,busire,1
clitophon,Undirected,leonte,1
clitophon,Undirected,eriphile,2
clitophon,Undirected,melite,3
clitophon,Undirected,prisonnier,1
clitophon,Undirected,le-geolier,1
clitophon,Undirected,le-juge,3
clitophon,Undirected,sostrate,3
clitophon,Undirected,tersandre,1
clinias,Undirected,lucipe,4
clinias,Undirected,satire,8
clinias,Undirected,eriphile,1
clinias,Undirected,prisonnier,1
lucipe,Undirected,satire,4
lucipe,Undirected,soldat,1
lucipe,Undirected,menelas,1
lucipe,Undirected,cheree,1
lucipe,Undirected,melite,3
lucipe,Undirected,eriphile,1
lucipe,Undirected,sostrate,2
lucipe,Undirected,le-juge,2
lucipe,Undirected,tersandre,1
hippias,Undirected,satire,1
hippias,Undirected,panthie,1
satire,Undirected,panthie,1
satire,Undirected,menelas,4
satire,Undirected,soldat,1
satire,Undirected,timandre,1
satire,Undirected,leonte,1
satire,Undirected,eriphile,1
satire,Undirected,prisonnier,1
satire,Undirected,sostrate,1
menelas,Undirected,soldat,2
soldat,Undirected,busire,1
soldat,Undirected,leonte,1
busire,Undirected,leonte,2
busire,Undirected,charmide,1
busire,Undirected,timandre,1
leonte,Undirected,timandre,1
timandre,Undirected,heraut,1
timandre,Undirected,charmide,3
heraut,Undirected,charmide,1
charmide,Undirected,cheree,1
eriphile,Undirected,melite,1
melite,Undirected,tersandre,3
melite,Undirected,polemon,1
melite,Undirected,le-juge,1
melite,Undirected,sostrate,1
prisonnier,Undirected,le-juge,1
tersandre,Undirected,polemon,1
tersandre,Undirected,le-juge,1
tersandre,Undirected,sostrate,1
le-juge,Undirected,sostrate,3
