Source,Type,Target,Weight
philemon,Undirected,tirsis,6
philemon,Undirected,polidor,3
philemon,Undirected,guillaume,3
philemon,Undirected,florice,1
philemon,Undirected,dorimene,1
tirsis,Undirected,polidor,9
tirsis,Undirected,dorimene,5
tirsis,Undirected,guillaume,6
tirsis,Undirected,florice,3
tirsis,Undirected,lisette,2
tirsis,Undirected,doripe,1
tirsis,Undirected,crisere,1
tirsis,Undirected,ormin,1
polidor,Undirected,dorimene,8
polidor,Undirected,guillaume,8
polidor,Undirected,florice,4
polidor,Undirected,olenie,2
polidor,Undirected,doripe,2
polidor,Undirected,crisere,2
polidor,Undirected,ormin,1
polidor,Undirected,lisette,1
dorimene,Undirected,olenie,4
dorimene,Undirected,doripe,4
dorimene,Undirected,florice,4
dorimene,Undirected,crisere,4
dorimene,Undirected,guillaume,5
dorimene,Undirected,lisette,2
dorimene,Undirected,ormin,1
lisette,Undirected,florice,6
lisette,Undirected,guillaume,2
lisette,Undirected,doripe,2
lisette,Undirected,crisere,2
lisette,Undirected,ormin,1
florice,Undirected,olenie,2
florice,Undirected,doripe,2
florice,Undirected,guillaume,2
florice,Undirected,crisere,1
florice,Undirected,ormin,1
guillaume,Undirected,olenie,2
guillaume,Undirected,crisere,2
guillaume,Undirected,doripe,2
guillaume,Undirected,ormin,1
olenie,Undirected,doripe,2
olenie,Undirected,crisere,1
doripe,Undirected,crisere,7
doripe,Undirected,ormin,1
crisere,Undirected,ormin,1
