Source,Type,Target,Weight
pamphage,Undirected,trassidule,1
pamphage,Undirected,monofthalme,2
pamphage,Undirected,philarchie,3
pamphage,Undirected,disangel,1
pamphage,Undirected,andrigene,1
pamphage,Undirected,philideme,1
pamphage,Undirected,mystarque,1
pamphage,Undirected,le-page,1
pamphage,Undirected,protarque,1
trassidule,Undirected,monofthalme,1
philarchie,Undirected,disangel,1
themide,Undirected,andrigene,1
themide,Undirected,protarque,2
themide,Undirected,philideme,1
themide,Undirected,evangel,1
andrigene,Undirected,philideme,2
andrigene,Undirected,mystarque,3
andrigene,Undirected,protarque,2
philideme,Undirected,mystarque,7
philideme,Undirected,protarque,3
philideme,Undirected,le-gentilhomme,1
mystarque,Undirected,protarque,2
mystarque,Undirected,le-gentilhomme,1
protarque,Undirected,evangel,1
protarque,Undirected,le-gentilhomme,1
