Source,Type,Target,Weight
le-tambour,Undirected,un-amour,1
le-tambour,Undirected,l-amour,1
le-tambour,Undirected,mars,1
le-tambour,Undirected,venus,1
le-tambour,Undirected,bellone,1
un-amour,Undirected,l-amour,1
un-amour,Undirected,mars,2
un-amour,Undirected,venus,2
un-amour,Undirected,bellone,1
un-amour,Undirected,vulcain,1
l-amour,Undirected,mars,1
l-amour,Undirected,venus,1
l-amour,Undirected,bellone,1
mars,Undirected,venus,2
mars,Undirected,bellone,1
mars,Undirected,vulcain,1
venus,Undirected,bellone,1
venus,Undirected,vulcain,4
venus,Undirected,cupidon,2
venus,Undirected,le-laquais,1
venus,Undirected,un-des-amours,1
venus,Undirected,plutus,1
venus,Undirected,mercure,1
venus,Undirected,momus,1
venus,Undirected,les-dieux,1
venus,Undirected,junon,1
venus,Undirected,jupiter,1
venus,Undirected,l-ocean,1
venus,Undirected,diane,1
venus,Undirected,pluton,1
venus,Undirected,bacchus,1
vulcain,Undirected,mercure,1
vulcain,Undirected,momus,1
vulcain,Undirected,les-dieux,1
vulcain,Undirected,junon,1
vulcain,Undirected,jupiter,1
vulcain,Undirected,l-ocean,1
vulcain,Undirected,diane,1
vulcain,Undirected,pluton,1
vulcain,Undirected,bacchus,1
cupidon,Undirected,le-laquais,1
cupidon,Undirected,un-des-amours,1
le-laquais,Undirected,un-des-amours,1
momus,Undirected,les-dieux,1
momus,Undirected,junon,1
momus,Undirected,jupiter,1
momus,Undirected,l-ocean,1
momus,Undirected,diane,1
momus,Undirected,pluton,1
momus,Undirected,bacchus,1
les-dieux,Undirected,junon,1
les-dieux,Undirected,jupiter,1
les-dieux,Undirected,l-ocean,1
les-dieux,Undirected,diane,1
les-dieux,Undirected,pluton,1
les-dieux,Undirected,bacchus,1
junon,Undirected,jupiter,1
junon,Undirected,l-ocean,1
junon,Undirected,diane,1
junon,Undirected,pluton,1
junon,Undirected,bacchus,1
jupiter,Undirected,l-ocean,1
jupiter,Undirected,diane,1
jupiter,Undirected,pluton,1
jupiter,Undirected,bacchus,1
l-ocean,Undirected,diane,1
l-ocean,Undirected,pluton,1
l-ocean,Undirected,bacchus,1
diane,Undirected,pluton,1
diane,Undirected,bacchus,1
pluton,Undirected,bacchus,1
