Source,Type,Target,Weight
l-etourdi,Undirected,valere,1
nerine,Undirected,frontin,7
nerine,Undirected,angelique,9
nerine,Undirected,dorante,5
nerine,Undirected,la-comtesse,5
nerine,Undirected,le-chevalier,5
frontin,Undirected,le-chevalier,13
frontin,Undirected,la-comtesse,5
frontin,Undirected,angelique,5
frontin,Undirected,le-marquis,1
frontin,Undirected,madame-brusquan,2
frontin,Undirected,babiche,1
frontin,Undirected,dorante,4
angelique,Undirected,la-comtesse,3
angelique,Undirected,le-chevalier,4
angelique,Undirected,dorante,3
la-comtesse,Undirected,le-chevalier,4
la-comtesse,Undirected,dorante,3
dorante,Undirected,le-chevalier,4
dorante,Undirected,madame-brusquan,1
le-chevalier,Undirected,le-marquis,2
le-chevalier,Undirected,madame-brusquan,1
le-chevalier,Undirected,babiche,1
madame-brusquan,Undirected,babiche,1
