Source,Type,Target,Weight
toinette,Undirected,angelique,7
toinette,Undirected,valere,5
toinette,Undirected,la-petite-fille,2
toinette,Undirected,la-mie,3
toinette,Undirected,le-nourricier,10
toinette,Undirected,la-nourice,2
toinette,Undirected,la-nourrice,4
toinette,Undirected,la-femme-du-viellard,1
toinette,Undirected,la-femme-du-vieillard,5
toinette,Undirected,le-femme-du-vieillard,1
toinette,Undirected,le-vourricier,1
toinette,Undirected,le-vieillard,4
toinette,Undirected,la-veuve,3
toinette,Undirected,toienette,1
angelique,Undirected,valere,5
angelique,Undirected,la-femme-du-viellard,1
angelique,Undirected,le-nourricier,3
angelique,Undirected,la-femme-du-vieillard,3
angelique,Undirected,le-femme-du-vieillard,1
angelique,Undirected,le-vourricier,1
angelique,Undirected,le-nouricier,1
angelique,Undirected,la-veuve,2
angelique,Undirected,le-vieillard,1
angelique,Undirected,la-nourrice,1
valere,Undirected,le-nourricier,4
valere,Undirected,la-femme-du-vieillard,3
valere,Undirected,la-petite-fille,1
valere,Undirected,la-nourrice,2
valere,Undirected,le-vieillard,2
valere,Undirected,la-veuve,3
valere,Undirected,le-nouricier,1
le-nourricier,Undirected,la-nourrice,5
le-nourricier,Undirected,la-mie,1
le-nourricier,Undirected,la-nourice,1
le-nourricier,Undirected,la-femme-du-viellard,1
le-nourricier,Undirected,la-femme-du-vieillard,4
le-nourricier,Undirected,le-femme-du-vieillard,1
le-nourricier,Undirected,le-vourricier,1
le-nourricier,Undirected,le-vieillard,5
le-nourricier,Undirected,la-veuve,5
le-nourricier,Undirected,le-nouricier,2
le-nourricier,Undirected,la-petite-fille,1
la-nourrice,Undirected,la-petite-fille,2
la-nourrice,Undirected,la-mie,1
la-nourrice,Undirected,la-nourice,1
la-nourrice,Undirected,le-vieillard,2
la-nourrice,Undirected,la-veuve,2
la-nourrice,Undirected,la-femme-du-vieillard,2
la-petite-fille,Undirected,la-mie,2
la-petite-fille,Undirected,le-vieillard,1
la-petite-fille,Undirected,la-veuve,1
la-petite-fille,Undirected,la-femme-du-vieillard,1
la-nourice,Undirected,le-vieillard,1
la-nourice,Undirected,la-veuve,1
la-nourice,Undirected,toienette,1
la-femme-du-viellard,Undirected,la-femme-du-vieillard,1
la-femme-du-viellard,Undirected,le-femme-du-vieillard,1
la-femme-du-viellard,Undirected,le-vourricier,1
la-femme-du-vieillard,Undirected,le-femme-du-vieillard,1
la-femme-du-vieillard,Undirected,le-vourricier,1
la-femme-du-vieillard,Undirected,le-vieillard,7
la-femme-du-vieillard,Undirected,la-veuve,4
le-femme-du-vieillard,Undirected,le-vourricier,1
le-vieillard,Undirected,la-veuve,7
le-vieillard,Undirected,toienette,1
la-veuve,Undirected,toienette,1
la-veuve,Undirected,le-nouricier,2
