Source,Type,Target,Weight
mariane,Undirected,dorante,7
mariane,Undirected,angelique,7
mariane,Undirected,madame-argant,3
mariane,Undirected,le-chevalier,6
mariane,Undirected,laurette,6
mariane,Undirected,la-marquise,2
mariane,Undirected,monsieur-franchard,3
mariane,Undirected,rapin,1
dorante,Undirected,le-chevalier,3
dorante,Undirected,angelique,3
dorante,Undirected,monsieur-franchard,4
dorante,Undirected,laurette,4
dorante,Undirected,la-marquise,1
dorante,Undirected,madame-argant,2
angelique,Undirected,madame-argant,4
angelique,Undirected,le-chevalier,7
angelique,Undirected,la-marquise,1
angelique,Undirected,monsieur-franchard,5
angelique,Undirected,laurette,3
angelique,Undirected,rapin,1
madame-argant,Undirected,laurette,5
madame-argant,Undirected,le-chevalier,7
madame-argant,Undirected,rapin,1
madame-argant,Undirected,monsieur-franchard,4
laurette,Undirected,la-marquise,6
laurette,Undirected,le-chevalier,6
laurette,Undirected,un-laquais,1
laurette,Undirected,un-commis,1
laurette,Undirected,rapin,2
laurette,Undirected,monsieur-franchard,6
la-marquise,Undirected,le-chevalier,4
la-marquise,Undirected,un-laquais,1
le-chevalier,Undirected,un-laquais,1
le-chevalier,Undirected,monsieur-franchard,8
le-chevalier,Undirected,rapin,6
un-commis,Undirected,rapin,1
rapin,Undirected,monsieur-franchard,1
