Source,Type,Target,Weight
iolas,Undirected,copree,2
iolas,Undirected,le-choeur,6
iolas,Undirected,demophon,2
iolas,Undirected,macarie,1
iolas,Undirected,le-serviteur,3
iolas,Undirected,alcmene,1
copree,Undirected,le-choeur,2
copree,Undirected,demophon,1
le-choeur,Undirected,demophon,2
le-choeur,Undirected,macarie,1
le-choeur,Undirected,alcmene,3
le-choeur,Undirected,le-serviteur,3
le-choeur,Undirected,le-messager,2
le-choeur,Undirected,eurysthee,1
le-serviteur,Undirected,alcmene,2
le-serviteur,Undirected,le-messager,1
alcmene,Undirected,le-messager,2
alcmene,Undirected,eurysthee,1
le-messager,Undirected,eurysthee,1
