Source,Type,Target,Weight
amphitryon,Undirected,megare,4
amphitryon,Undirected,le-choeur,6
amphitryon,Undirected,lycus,2
amphitryon,Undirected,hercule,3
amphitryon,Undirected,demi-choeur,1
amphitryon,Undirected,le-messager,1
amphitryon,Undirected,thesee,1
megare,Undirected,le-choeur,3
megare,Undirected,lycus,1
megare,Undirected,hercule,1
le-choeur,Undirected,lycus,2
le-choeur,Undirected,hercule,3
le-choeur,Undirected,demi-choeur,1
le-choeur,Undirected,iris,1
le-choeur,Undirected,lyssa,1
le-choeur,Undirected,le-messager,1
le-choeur,Undirected,thesee,1
lycus,Undirected,demi-choeur,1
hercule,Undirected,thesee,1
iris,Undirected,lyssa,1
