Source,Type,Target,Weight
hippolyte,Undirected,les-suivants,1
hippolyte,Undirected,le-serviteur,1
hippolyte,Undirected,le-choeur,4
hippolyte,Undirected,phedre,1
hippolyte,Undirected,la-nourrice,1
hippolyte,Undirected,thesee,2
hippolyte,Undirected,diane,1
les-suivants,Undirected,le-serviteur,1
le-choeur,Undirected,la-nourrice,2
le-choeur,Undirected,phedre,3
le-choeur,Undirected,le-messager,3
le-choeur,Undirected,demi-choeur,1
le-choeur,Undirected,thesee,4
le-choeur,Undirected,diane,1
la-nourrice,Undirected,phedre,2
le-messager,Undirected,demi-choeur,1
le-messager,Undirected,thesee,1
thesee,Undirected,diane,1
