Source,Type,Target,Weight
le-docteur,Undirected,pierrot,2
le-docteur,Undirected,arlequin,6
le-docteur,Undirected,le-commis,1
le-docteur,Undirected,le-commissaire,1
le-docteur,Undirected,la-voix,1
le-docteur,Undirected,colombine,2
le-docteur,Undirected,isabelle,1
le-docteur,Undirected,tous,1
le-docteur,Undirected,le-chevalier,1
le-docteur,Undirected,un-autre-chevalier,1
pierrot,Undirected,arlequin,2
arlequin,Undirected,le-commis,1
arlequin,Undirected,le-commissaire,1
arlequin,Undirected,la-voix,1
arlequin,Undirected,colombine,2
arlequin,Undirected,isabelle,1
arlequin,Undirected,tous,1
arlequin,Undirected,le-chevalier,1
arlequin,Undirected,un-autre-chevalier,1
arlequin,Undirected,un-capitaine,1
isabelle,Undirected,colombine,2
isabelle,Undirected,tous,1
isabelle,Undirected,le-chevalier,1
isabelle,Undirected,un-autre-chevalier,1
colombine,Undirected,tous,1
colombine,Undirected,le-chevalier,1
colombine,Undirected,un-autre-chevalier,1
le-commis,Undirected,le-commissaire,1
tous,Undirected,le-chevalier,1
tous,Undirected,un-autre-chevalier,1
le-chevalier,Undirected,un-autre-chevalier,1
