Source,Type,Target,Weight
podagrambo,Undirected,harpagine,3
podagrambo,Undirected,acajou,2
podagrambo,Undirected,ninette,1
podagrambo,Undirected,zirphile,1
harpagine,Undirected,acajou,5
harpagine,Undirected,stentor,1
harpagine,Undirected,trio,1
harpagine,Undirected,l-huissier,1
harpagine,Undirected,le-procureur,1
harpagine,Undirected,l-avocat,1
acajou,Undirected,mortifer,1
acajou,Undirected,metromane,1
acajou,Undirected,stentor,1
acajou,Undirected,trio,1
acajou,Undirected,l-huissier,1
acajou,Undirected,le-procureur,1
acajou,Undirected,l-avocat,1
acajou,Undirected,zirphile,5
acajou,Undirected,ninette,2
stentor,Undirected,trio,1
stentor,Undirected,l-huissier,1
stentor,Undirected,le-procureur,1
stentor,Undirected,l-avocat,1
trio,Undirected,l-huissier,1
trio,Undirected,le-procureur,1
trio,Undirected,l-avocat,1
l-huissier,Undirected,le-procureur,1
l-huissier,Undirected,l-avocat,1
le-procureur,Undirected,l-avocat,1
ninette,Undirected,zirphile,3
