Source,Type,Target,Weight
plumard,Undirected,pepita,4
plumard,Undirected,taupinier,3
plumard,Undirected,mariette,1
plumard,Undirected,lemercier,5
plumard,Undirected,dubrochard,2
pepita,Undirected,taupinier,5
pepita,Undirected,mariette,1
pepita,Undirected,lemercier,6
pepita,Undirected,dubrochard,1
pepita,Undirected,tous,1
taupinier,Undirected,lemercier,6
taupinier,Undirected,dubrochard,3
taupinier,Undirected,tous,1
mariette,Undirected,lemercier,1
lemercier,Undirected,dubrochard,3
lemercier,Undirected,tous,1
dubrochard,Undirected,tous,1
