Source,Type,Target,Weight
etienne,Undirected,claude,2
etienne,Undirected,laforet,1
etienne,Undirected,jeanne,1
etienne,Undirected,madelaine,1
etienne,Undirected,provençal,1
claude,Undirected,provençal,3
claude,Undirected,le-valet,1
claude,Undirected,jeanne,2
claude,Undirected,madelaine,2
claude,Undirected,laforet,2
provençal,Undirected,le-valet,1
provençal,Undirected,jeanne,5
provençal,Undirected,madelaine,4
provençal,Undirected,laforet,4
jeanne,Undirected,madelaine,6
jeanne,Undirected,laforet,4
madelaine,Undirected,laforet,6
