Source,Type,Target,Weight
alizon,Undirected,gilles,3
alizon,Undirected,maitre-adam,2
alizon,Undirected,leonard,4
alizon,Undirected,maitre-simon,2
alizon,Undirected,maitre-maugier,1
alizon,Undirected,maitre-seraphin,2
alizon,Undirected,catherine,2
alizon,Undirected,mademoiselle-de-la-garandiere,1
gilles,Undirected,maitre-adam,1
gilles,Undirected,leonard,4
gilles,Undirected,un-ramoneur,1
gilles,Undirected,maitre-simon,1
gilles,Undirected,maitre-maugier,1
gilles,Undirected,maitre-seraphin,1
gilles,Undirected,catherine,1
maitre-adam,Undirected,leonard,5
maitre-adam,Undirected,mademoiselle-de-la-garandiere,2
maitre-adam,Undirected,maitre-maugier,1
maitre-adam,Undirected,maitre-simon,2
maitre-adam,Undirected,maitre-seraphin,2
maitre-adam,Undirected,catherine,1
leonard,Undirected,un-ramoneur,1
leonard,Undirected,maitre-simon,3
leonard,Undirected,maitre-maugier,2
leonard,Undirected,maitre-seraphin,3
leonard,Undirected,catherine,2
leonard,Undirected,mademoiselle-de-la-garandiere,2
maitre-simon,Undirected,maitre-maugier,2
maitre-simon,Undirected,maitre-seraphin,3
maitre-simon,Undirected,mademoiselle-de-la-garandiere,1
maitre-simon,Undirected,catherine,1
maitre-maugier,Undirected,maitre-seraphin,2
maitre-seraphin,Undirected,mademoiselle-de-la-garandiere,1
maitre-seraphin,Undirected,catherine,1
catherine,Undirected,mademoiselle-de-la-garandiere,1
