Source,Type,Target,Weight
charlemagne,Undirected,nymes,1
charlemagne,Undirected,leon,3
charlemagne,Undirected,bradamante,2
charlemagne,Undirected,hippalque,1
charlemagne,Undirected,ambassadeurs,2
charlemagne,Undirected,aymon,2
charlemagne,Undirected,marphise,1
charlemagne,Undirected,roger,2
charlemagne,Undirected,beatrix,2
aymon,Undirected,beatrix,6
aymon,Undirected,renaud,1
aymon,Undirected,la-roque,1
aymon,Undirected,la-montagne,1
aymon,Undirected,leon,3
aymon,Undirected,charles,2
aymon,Undirected,marphise,2
aymon,Undirected,roger,2
aymon,Undirected,ambassadeurs,1
aymon,Undirected,bradamante,1
beatrix,Undirected,bradamante,2
beatrix,Undirected,la-montagne,1
beatrix,Undirected,leon,3
beatrix,Undirected,charles,2
beatrix,Undirected,marphise,2
beatrix,Undirected,roger,2
beatrix,Undirected,ambassadeurs,1
renaud,Undirected,la-roque,1
bradamante,Undirected,hippalque,4
bradamante,Undirected,marphise,1
bradamante,Undirected,roger,1
bradamante,Undirected,leon,1
leon,Undirected,roger,4
leon,Undirected,charles,1
leon,Undirected,marphise,2
leon,Undirected,basile,1
leon,Undirected,ambassadeurs,1
roger,Undirected,marphise,1
roger,Undirected,ambassadeurs,1
hippalque,Undirected,marphise,1
marphise,Undirected,charles,1
marphise,Undirected,ambassadeurs,1
