Source,Type,Target,Weight
sophie,Undirected,madame-dormel,5
sophie,Undirected,le-petit-dormel,2
sophie,Undirected,dubois,1
sophie,Undirected,le-marquis,1
sophie,Undirected,monsieur-dormel,2
sophie,Undirected,dormel-fils,1
madame-dormel,Undirected,le-petit-dormel,3
madame-dormel,Undirected,le-marquis,1
madame-dormel,Undirected,monsieur-dormel,2
madame-dormel,Undirected,dormel-fils,1
le-petit-dormel,Undirected,le-marquis,1
le-petit-dormel,Undirected,le-comte,1
le-petit-dormel,Undirected,monsieur-dormel,1
le-petit-dormel,Undirected,dormel-fils,1
dubois,Undirected,le-marquis,1
monsieur-dormel,Undirected,dormel-fils,2
monsieur-dormel,Undirected,le-comte,1
dormel-fils,Undirected,le-comte,1
