Source,Type,Target,Weight
cesar,Undirected,marc-antoine,1
cesar,Undirected,calpurnie,1
cesar,Undirected,la-nourrice,1
cesar,Undirected,decime-brute,1
marc-antoine,Undirected,marc-brute,1
marc-antoine,Undirected,cassius,1
marc-antoine,Undirected,decime-brute,1
marc-antoine,Undirected,le-premier-soldat,1
marc-antoine,Undirected,le-second-soldat,1
le-premier-soldat,Undirected,le-second-soldat,5
le-premier-soldat,Undirected,le-troisieme-soldat,3
le-premier-soldat,Undirected,le-quatrieme-soldat,4
le-premier-soldat,Undirected,marc-brute,1
le-premier-soldat,Undirected,cassius,1
le-premier-soldat,Undirected,decime-brute,1
le-second-soldat,Undirected,le-troisieme-soldat,3
le-second-soldat,Undirected,le-quatrieme-soldat,4
le-second-soldat,Undirected,marc-brute,1
le-second-soldat,Undirected,cassius,1
le-second-soldat,Undirected,decime-brute,1
le-troisieme-soldat,Undirected,le-quatrieme-soldat,3
marc-brute,Undirected,decime-brute,2
marc-brute,Undirected,cassius,2
decime-brute,Undirected,cassius,2
decime-brute,Undirected,calpurnie,1
decime-brute,Undirected,la-nourrice,1
calpurnie,Undirected,la-nourrice,2
calpurnie,Undirected,le-messager,1
la-nourrice,Undirected,le-messager,1
