Source,Type,Target,Weight
proserpine,Undirected,pluton,2
proserpine,Undirected,caron,1
proserpine,Undirected,arlequin,2
proserpine,Undirected,mercure,1
pluton,Undirected,mercure,4
pluton,Undirected,violette,2
pluton,Undirected,arlequin,2
pluton,Undirected,caron,1
mercure,Undirected,violette,3
mercure,Undirected,arlequin,4
mercure,Undirected,cinthio,1
mercure,Undirected,pantalon,1
mercure,Undirected,rosette,1
mercure,Undirected,silvia,1
pasquin,Undirected,arlequin,1
pasquin,Undirected,silvia,1
arlequin,Undirected,pantalon,3
arlequin,Undirected,violette,3
arlequin,Undirected,caron,4
arlequin,Undirected,mademoiselle-decoulisses,1
arlequin,Undirected,l-hotelier,1
arlequin,Undirected,le-suisse,1
arlequin,Undirected,cinthio,1
arlequin,Undirected,rosette,2
arlequin,Undirected,silvia,2
arlequin,Undirected,un-paysan,1
silvia,Undirected,cinthio,4
silvia,Undirected,rosette,3
silvia,Undirected,pantalon,2
silvia,Undirected,scaramouche,1
silvia,Undirected,un-paysan,2
silvia,Undirected,violette,1
cinthio,Undirected,pantalon,2
cinthio,Undirected,scaramouche,1
cinthio,Undirected,un-paysan,1
cinthio,Undirected,rosette,1
cinthio,Undirected,violette,1
pantalon,Undirected,violette,3
pantalon,Undirected,scaramouche,1
pantalon,Undirected,un-paysan,1
pantalon,Undirected,rosette,1
violette,Undirected,rosette,1
rosette,Undirected,un-paysan,1
scaramouche,Undirected,un-paysan,1
la-fille,Undirected,le-garçon,1
caron,Undirected,mademoiselle-romanville,1
caron,Undirected,mathanasius,1
caron,Undirected,l-hotelier,1
caron,Undirected,le-suisse,1
mademoiselle-romanville,Undirected,mathanasius,1
l-hotelier,Undirected,le-suisse,1
