Source,Type,Target,Weight
le-maitre,Undirected,gilles,8
le-maitre,Undirected,taille-bras,1
le-maitre,Undirected,visautrou,1
le-maitre,Undirected,prends-tout,1
le-maitre,Undirected,sans-quartier,5
le-maitre,Undirected,divertissant,4
gilles,Undirected,taille-bras,1
gilles,Undirected,visautrou,1
gilles,Undirected,prends-tout,1
gilles,Undirected,laisse-rien,1
gilles,Undirected,gillette,4
gilles,Undirected,le-suisse,1
gilles,Undirected,olibrius,3
gilles,Undirected,sans-quartier,7
gilles,Undirected,divertissant,6
taille-bras,Undirected,visautrou,1
prends-tout,Undirected,laisse-rien,2
gillette,Undirected,le-suisse,1
gillette,Undirected,olibrius,2
sans-quartier,Undirected,divertissant,9
